internal_id,entity,CID,has_smiles,degree
2320,CID151178,CID151178,True,1
2322,CID151194,CID151194,True,4
2323,CID153270,CID153270,True,2
2325,CID153994,CID153994,True,1
2326,CID153997,CID153997,True,1
2329,CID154256,CID154256,True,1
2330,CID154257,CID154257,True,5
2331,CID154272,CID154272,True,1
2332,CID154417,CID154417,True,1
2333,CID15443,CID15443,True,1
2336,CID1548887,CID1548887,True,3
2337,CID1548943,CID1548943,True,2
2339,CID1548972,CID1548972,True,3
2343,CID1550286,CID1550286,True,1
2344,CID155290,CID155290,True,1
2345,CID15547703,CID15547703,True,4
2346,CID15558393,CID15558393,True,20
2347,CID155815,CID155815,True,1
2349,CID15605952,CID15605952,True,1
2351,CID156414,CID156414,True,7
2354,CID156422,CID156422,True,27
2355,CID15664,CID15664,True,1
2356,CID15723,CID15723,True,1
2357,CID157920,CID157920,True,226
2358,CID158550,CID158550,True,1
2359,CID158758,CID158758,True,1
2361,CID158797,CID158797,True,12
2362,CID159269,CID159269,True,2
2363,CID159278,CID159278,True,2
2364,CID159324,CID159324,True,4
2365,CID159325,CID159325,True,1
2366,CID15951529,CID15951529,True,3
2368,CID15953870,CID15953870,True,4
2372,CID159968,CID159968,True,1
2375,CID160254,CID160254,True,3
2376,CID160355,CID160355,True,2
2377,CID16038120,CID16038120,True,5
2378,CID16038374,CID16038374,True,5
2379,CID16041424,CID16041424,True,4
2380,CID160436,CID160436,True,1
2381,CID16048654,CID16048654,True,1
2382,CID16049404,CID16049404,True,2
2384,CID16052038,CID16052038,True,3
2386,CID16078973,CID16078973,True,1
2387,CID16078986,CID16078986,True,1
2388,CID16086114,CID16086114,True,3
2389,CID16095342,CID16095342,True,27
2390,CID16097523,CID16097523,True,3
2392,CID16108977,CID16108977,True,3
2393,CID16118392,CID16118392,True,3
2394,CID16123056,CID16123056,True,1
2398,CID161557,CID161557,True,2
2400,CID162147,CID162147,True,1
2401,CID16216349,CID16216349,True,1
2403,CID16218924,CID16218924,True,3
2404,CID16219612,CID16219612,True,1
2405,CID16220066,CID16220066,True,1
2408,CID16222096,CID16222096,True,13
2409,CID16222097,CID16222097,True,14
2410,CID16222379,CID16222379,True,1
2411,CID16224745,CID16224745,True,1
2413,CID16307093,CID16307093,True,1
2415,CID163263,CID163263,True,1
2418,CID163701,CID163701,True,1
2419,CID163751,CID163751,True,13
2420,CID164509,CID164509,True,1
2421,CID164521,CID164521,True,1
2423,CID164676,CID164676,True,3
2425,CID16533,CID16533,True,2
2427,CID165411828,CID165411828,True,1
2428,CID165457,CID165457,True,1
2429,CID165542,CID165542,True,1
2430,CID165580,CID165580,True,233
2431,CID16654980,CID16654980,True,96
2432,CID166558,CID166558,True,2
2433,CID16659841,CID16659841,True,3
2434,CID16666332,CID16666332,True,2
2438,CID16667669,CID16667669,True,262
2439,CID16678941,CID16678941,True,2
2440,CID16681698,CID16681698,True,3
2441,CID16718576,CID16718576,True,32
2445,CID16722834,CID16722834,True,1
2446,CID16722836,CID16722836,True,3
2447,CID16723044,CID16723044,True,1
2448,CID16725726,CID16725726,True,7
2449,CID16736529,CID16736529,True,44
2450,CID16736978,CID16736978,True,5
2451,CID16738693,CID16738693,True,1
2452,CID16739650,CID16739650,True,2
2453,CID16741245,CID16741245,True,1
2454,CID16742063,CID16742063,True,1
2457,CID16755649,CID16755649,True,8
2461,CID16759177,CID16759177,True,1
2462,CID16760658,CID16760658,True,1
2465,CID167980,CID167980,True,1
2467,CID168993,CID168993,True,1
2468,CID169371,CID169371,True,4
2469,CID170361,CID170361,True,1
2470,CID170367,CID170367,True,1
2471,CID17134,CID17134,True,59
2473,CID17275,CID17275,True,1
2475,CID174174,CID174174,True,1
2476,CID174277,CID174277,True,1
2477,CID17513,CID17513,True,1
2481,CID176155,CID176155,True,4
2483,CID176167,CID176167,True,1
2484,CID176517025,CID176517025,True,1
2486,CID176870,CID176870,True,115
2487,CID176871,CID176871,True,97
2488,CID176873,CID176873,True,1
